question,answer
आर्टिफिशियल इंटेलिजेंस क्या है?,"आर्टिफिशियल इंटेलिजेंस उन कंप्यूटर सिस्टम के विकास को संदर्भित करता है जो ऐसे कार्य कर सकते हैं जो आमतौर पर मानव बुद्धिमत्ता की आवश्यकता होती हैं, जैसे कि दृश्य धारणा, भाषण मान्यता, निर्णय लेने और भाषा अनुवाद। \ n"
कृत्रिम बुद्धिमत्ता की दो मुख्य श्रेणियां क्या हैं?,"कृत्रिम बुद्धिमत्ता की दो मुख्य श्रेणियां संकीर्ण एआई और जनरल एआई हैं। संकीर्ण एआई एक विशिष्ट कार्य पर ध्यान केंद्रित करता है, जबकि सामान्य एआई का उद्देश्य मानव जैसी बुद्धि और विभिन्न कार्यों को सीखने और प्रदर्शन करने की क्षमता है। \ n"
मशीन लर्निंग क्या है?,मशीन लर्निंग आर्टिफिशियल इंटेलिजेंस का एक सबसेट है जो एल्गोरिदम के विकास पर ध्यान केंद्रित करता है जो डेटा पर भविष्यवाणी या निर्णय ले सकता है।
गहरी शिक्षा क्या है?,डीप लर्निंग मशीन लर्निंग का एक सबसेट है जो कई परतों के साथ गहरे तंत्रिका नेटवर्क का उपयोग करता है और जटिल डेटा पर भविष्यवाणी करने के लिए कई परतों का उपयोग करता है। \ n
प्राकृतिक भाषा प्रसंस्करण क्या है?,"प्राकृतिक भाषा प्रसंस्करण कृत्रिम बुद्धिमत्ता का एक सबसेट है जो कंप्यूटर को मानव भाषा को समझने, व्याख्या करने और उत्पन्न करने के लिए सक्षम करने पर ध्यान केंद्रित करता है।"
कंप्यूटर विजन क्या है?,कंप्यूटर विजन आर्टिफिशियल इंटेलिजेंस का एक सबसेट है जो कंप्यूटर को हमारे आस -पास की दुनिया से दृश्य डेटा की व्याख्या और समझने के लिए सक्षम करने पर केंद्रित है।
एक कृत्रिम तंत्रिका नेटवर्क क्या है?,"एक कृत्रिम तंत्रिका नेटवर्क एक कंप्यूटिंग प्रणाली है जो मानव मस्तिष्क की संरचना और कार्य से प्रेरित है जो डेटा पर भविष्यवाणियों से सीख सकती है और बना सकती है। इसमें परस्पर जुड़े नोड्स, या कृत्रिम न्यूरॉन्स होते हैं, जो प्रक्रिया और सूचना प्रसारित करते हैं। \एन"
सुदृढीकरण सीखने क्या है?,"सुदृढीकरण सीखना मशीन लर्निंग का एक सबसेट है जहां एक एल्गोरिथ्म एक इनाम संकेत को अधिकतम करने के लिए एक वातावरण में कार्रवाई करना सीखता है। एल्गोरिथ्म एक इनाम या जुर्माना के रूप में प्रतिक्रिया प्राप्त करता है, जो कार्यों के आधार पर होता है, और समय के साथ अपने निर्णय लेने में सुधार के लिए इस प्रतिक्रिया का उपयोग करता है। \ n"
एक कृत्रिम तंत्रिका नेटवर्क क्या है?,एक कृत्रिम तंत्रिका नेटवर्क एक प्रकार का मशीन लर्निंग एल्गोरिथ्म है जो डेटा को संसाधित करने और विश्लेषण करने के लिए इंटरकनेक्टेड नोड्स का उपयोग करके मानव मस्तिष्क के काम करने के तरीके को अनुकरण करने के लिए डिज़ाइन किया गया है। \ n
क्या सीखना क्या है?,अपर्यवेक्षित शिक्षण एक प्रकार की मशीन लर्निंग है जो कंप्यूटर को विशिष्ट उदाहरणों या लेबल किए गए डेटा के बिना डेटा में पैटर्न और संबंध सीखने की अनुमति देता है। \ n
क्या सीखने की देखरेख की जाती है?,पर्यवेक्षित लर्निंग एक प्रकार की मशीन लर्निंग है जिसमें कंप्यूटर को लेबल किए गए उदाहरणों के साथ प्रदान करना और नए डेटा पर भविष्यवाणियों या निर्णय लेने के लिए उन उदाहरणों से सीखना शामिल है। \ n
